Name,Total,Name-Date,Qty-Price
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$80.96,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyAug 5,2 shares at $40.48
SPDR Bloomberg Barclays Convertible Securities ETF Market Buy,$155.43,SPDR Bloomberg Barclays Convertible Securities ETF Market BuyAug 5,3 shares at $51.81
VanEck Vectors Fallen Angel High Yield Bond ETF Market Buy,$172.68,VanEck Vectors Fallen Angel High Yield Bond ETF Market BuyAug 5,6 shares at $28.78
PowerShares Preferred Portfolio Market Buy,$59.28,PowerShares Preferred Portfolio Market BuyAug 5,4 shares at $14.82
iShares Mortgage REIT Capped ETF Market Buy,$84.00,iShares Mortgage REIT Capped ETF Market BuyAug 5,2 shares at $42.00
iShares Mortgage REIT Capped ETF Market Buy,$168.00,iShares Mortgage REIT Capped ETF Market BuyAug 5,4 shares at $42.00
iShares Edge MSCI Min Vol USA ETF Market Buy,$244.48,iShares Edge MSCI Min Vol USA ETF Market BuyAug 5,4 shares at $61.12
iShares Dow Jones US Medical Devices Index Fund Market Buy,$236.43,iShares Dow Jones US Medical Devices Index Fund Market BuyAug 5,1 share at $236.43
PowerShares Aerospace & Defense Portfolio Market Buy,$127.06,PowerShares Aerospace & Defense Portfolio Market BuyAug 5,2 shares at $63.53
Invesco S&P MidCap Momentum ETF Market Buy,$170.46,Invesco S&P MidCap Momentum ETF Market BuyAug 5,3 shares at $56.82
First Trust Technology AlphaDEX ETF Market Buy,$64.74,First Trust Technology AlphaDEX ETF Market BuyAug 5,1 share at $64.74
iShares Expanded Tech-Software Sector ETF Market Buy,$209.30,iShares Expanded Tech-Software Sector ETF Market BuyAug 5,1 share at $209.30
VanEck Vectors Fallen Angel High Yield Bond ETF Market Buy,$117.20,VanEck Vectors Fallen Angel High Yield Bond ETF Market BuyAug 1,4 shares at $29.30
iShares Mortgage REIT Capped ETF Market Buy,$85.80,iShares Mortgage REIT Capped ETF Market BuyAug 1,2 shares at $42.90
Invesco S&P MidCap Momentum ETF Market Buy,$58.83,Invesco S&P MidCap Momentum ETF Market BuyAug 1,1 share at $58.83
PowerShares Aerospace & Defense Portfolio Market Buy,$130.78,PowerShares Aerospace & Defense Portfolio Market BuyAug 1,2 shares at $65.39
iShares Dow Jones US Medical Devices Index Fund Market Buy,$245.01,iShares Dow Jones US Medical Devices Index Fund Market BuyAug 1,1 share at $245.01
iShares Expanded Tech-Software Sector ETF Market Buy,$221.66,iShares Expanded Tech-Software Sector ETF Market BuyAug 1,1 share at $221.66
PowerShares S&P 500 High Dividend Low Volatility ETF Limit Buy,Canceled,PowerShares S&P 500 High Dividend Low Volatility ETF Limit BuyJul 31,
Vanguard High Dividend Yield ETF Limit Buy,$175.98,Vanguard High Dividend Yield ETF Limit BuyJul 31,2 shares at $87.99
Vanguard S&P 500 ETF Market Buy,$272.61,Vanguard S&P 500 ETF Market BuyJul 31,1 share at $272.61
Vanguard High Dividend Yield ETF Market Buy,$177.86,Vanguard High Dividend Yield ETF Market BuyJul 30,2 shares at $88.93
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.54,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 29,2 shares at $42.27
Vanguard S&P 500 ETF Market Buy,$275.28,Vanguard S&P 500 ETF Market BuyJul 25,1 share at $275.28
Vanguard High Dividend Yield ETF Market Buy,$88.70,Vanguard High Dividend Yield ETF Market BuyJul 25,1 share at $88.70
Vanguard High Dividend Yield ETF Market Buy,$88.70,Vanguard High Dividend Yield ETF Market BuyJul 25,1 share at $88.70
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$168.60,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 25,4 shares at $42.15
Vanguard Dividend Appreciation ETF Market Buy,$117.65,Vanguard Dividend Appreciation ETF Market BuyJul 19,1 share at $117.65
Vanguard Mega Cap ETF Market Buy,$103.07,Vanguard Mega Cap ETF Market BuyJul 19,1 share at $103.07
Vanguard High Dividend Yield ETF Market Buy,$176.66,Vanguard High Dividend Yield ETF Market BuyJul 19,2 shares at $88.33
Vanguard S&P 500 ETF Market Buy,$273.66,Vanguard S&P 500 ETF Market BuyJul 19,1 share at $273.66
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$169.08,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 19,4 shares at $42.27
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.33,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 17,2 shares at $42.17
Vanguard S&P 500 ETF Market Buy,$274.34,Vanguard S&P 500 ETF Market BuyJul 17,1 share at $274.34
Vanguard High Dividend Yield ETF Market Buy,$88.21,Vanguard High Dividend Yield ETF Market BuyJul 17,1 share at $88.21
Vanguard High Dividend Yield ETF Market Buy,$88.21,Vanguard High Dividend Yield ETF Market BuyJul 17,1 share at $88.21
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.34,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 17,2 shares at $42.17
Vanguard High Dividend Yield ETF Market Buy,$176.94,Vanguard High Dividend Yield ETF Market BuyJul 16,2 shares at $88.47
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.78,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 16,2 shares at $42.39
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.76,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 16,2 shares at $42.38
Vanguard S&P 500 ETF Market Buy,$275.08,Vanguard S&P 500 ETF Market BuyJul 16,1 share at $275.08
Ford Market Buy,$41.68,Ford Market BuyJul 15,4 shares at $10.42
Vanguard High Dividend Yield ETF Market Buy,$177.38,Vanguard High Dividend Yield ETF Market BuyJul 15,2 shares at $88.69
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$170.14,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 15,4 shares at $42.54
Vanguard S&P 500 ETF Market Buy,$274.43,Vanguard S&P 500 ETF Market BuyJul 11,1 share at $274.43
Vanguard High Dividend Yield ETF Market Buy,$88.18,Vanguard High Dividend Yield ETF Market BuyJul 11,1 share at $88.18
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.73,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 11,2 shares at $42.37
Vanguard High Dividend Yield ETF Market Buy,$87.95,Vanguard High Dividend Yield ETF Market BuyJul 9,1 share at $87.95
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.90,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 9,2 shares at $42.45
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$170.38,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 8,4 shares at $42.60
Vanguard High Dividend Yield ETF Market Buy,$176.28,Vanguard High Dividend Yield ETF Market BuyJul 8,2 shares at $88.14
Vanguard Mega Cap ETF Market Buy,$102.60,Vanguard Mega Cap ETF Market BuyJul 8,1 share at $102.60
Vanguard S&P 500 ETF Market Buy,$545.10,Vanguard S&P 500 ETF Market BuyJul 8,2 shares at $272.55
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.02,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJul 1,2 shares at $42.01
Vanguard High Dividend Yield ETF Market Buy,$86.65,Vanguard High Dividend Yield ETF Market BuyJun 26,1 share at $86.65
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.11,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 26,2 shares at $41.56
Sirius XM Market Buy,$55.40,Sirius XM Market BuyJun 25,10 shares at $5.54
Vanguard Mega Cap ETF Market Buy,$202.18,Vanguard Mega Cap ETF Market BuyJun 25,2 shares at $101.09
Vanguard High Dividend Yield ETF Market Buy,$173.67,Vanguard High Dividend Yield ETF Market BuyJun 25,2 shares at $86.84
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$167.12,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 25,4 shares at $41.78
Vanguard S&P 500 ETF Market Buy,$536.72,Vanguard S&P 500 ETF Market BuyJun 25,2 shares at $268.36
Vanguard Mega Cap ETF Market Buy,$102.18,Vanguard Mega Cap ETF Market BuyJun 24,1 share at $102.18
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$84.20,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 24,2 shares at $42.10
Vanguard High Dividend Yield ETF Market Buy,$175.04,Vanguard High Dividend Yield ETF Market BuyJun 24,2 shares at $87.52
Vanguard S&P 500 ETF Market Buy,$542.38,Vanguard S&P 500 ETF Market BuyJun 24,2 shares at $271.19
Sirius XM Market Buy,$281.49,Sirius XM Market BuyJun 17,50 shares at $5.63
Vanguard High Dividend Yield ETF Market Buy,$86.00,Vanguard High Dividend Yield ETF Market BuyJun 17,1 share at $86.00
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.88,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 17,2 shares at $41.94
Vanguard S&P 500 ETF Market Buy,$265.84,Vanguard S&P 500 ETF Market BuyJun 17,1 share at $265.84
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.89,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 14,2 shares at $41.95
Vanguard High Dividend Yield ETF Market Buy,$86.91,Vanguard High Dividend Yield ETF Market BuyJun 14,1 share at $86.91
Vanguard S&P 500 ETF Market Buy,$265.96,Vanguard S&P 500 ETF Market BuyJun 14,1 share at $265.96
Vanguard High Dividend Yield ETF Market Buy,$86.60,Vanguard High Dividend Yield ETF Market BuyJun 12,1 share at $86.60
Vanguard S&P 500 ETF Market Buy,$264.87,Vanguard S&P 500 ETF Market BuyJun 12,1 share at $264.87
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.14,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 12,2 shares at $41.57
Vanguard High Dividend Yield ETF Market Buy,$86.73,Vanguard High Dividend Yield ETF Market BuyJun 11,1 share at $86.73
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$83.02,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 11,2 shares at $41.51
Vanguard S&P 500 ETF Market Buy,$265.48,Vanguard S&P 500 ETF Market BuyJun 11,1 share at $265.48
Vanguard High Dividend Yield ETF Market Buy,$86.60,Vanguard High Dividend Yield ETF Market BuyJun 10,1 share at $86.60
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$82.75,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyJun 10,2 shares at $41.38
Vanguard S&P 500 ETF Market Buy,$265.84,Vanguard S&P 500 ETF Market BuyJun 10,1 share at $265.84
PowerShares S&P 500 High Dividend Low Volatility ETF Limit Buy,Canceled,PowerShares S&P 500 High Dividend Low Volatility ETF Limit BuyMay 31,
Vanguard High Dividend Yield ETF Limit Buy,$82.53,Vanguard High Dividend Yield ETF Limit BuyMay 31,1 share at $82.53
Vanguard S&P 500 ETF Market Buy,$252.97,Vanguard S&P 500 ETF Market BuyMay 31,1 share at $252.97
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$80.63,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyMay 30,2 shares at $40.32
Vanguard S&P 500 ETF Market Buy,$256.28,Vanguard S&P 500 ETF Market BuyMay 30,1 share at $256.28
Vanguard High Dividend Yield ETF Market Buy,$83.72,Vanguard High Dividend Yield ETF Market BuyMay 29,1 share at $83.72
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$80.96,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyMay 29,2 shares at $40.48
Vanguard S&P 500 ETF Market Buy,$255.39,Vanguard S&P 500 ETF Market BuyMay 29,1 share at $255.39
Vanguard S&P 500 ETF Market Buy,$257.42,Vanguard S&P 500 ETF Market BuyMay 28,1 share at $257.42
Vanguard S&P 500 ETF Market Buy,$259.72,Vanguard S&P 500 ETF Market BuyMay 24,1 share at $259.72
PowerShares S&P 500 High Dividend Low Volatility ETF Market Buy,$414.65,PowerShares S&P 500 High Dividend Low Volatility ETF Market BuyMay 23,10 shares at $41.47
Vanguard S&P 500 ETF Market Buy,$259.20,Vanguard S&P 500 ETF Market BuyMay 23,1 share at $259.20
Vanguard S&P 500 ETF Market Buy,$262.54,Vanguard S&P 500 ETF Market BuyMay 22,1 share at $262.54
Vanguard High Dividend Yield ETF Market Buy,$861.20,Vanguard High Dividend Yield ETF Market BuyMay 21,10 shares at $86.12
Vanguard Mega Cap ETF Market Buy,$989.80,Vanguard Mega Cap ETF Market BuyMay 21,10 shares at $98.98
Sirius XM Market Buy,$22.88,Sirius XM Market BuyMay 14,4 shares at $5.72
AT&T Market Buy,$273.38,AT&T Market BuyMay 13,9 shares at $30.38
Ford Market Buy,$202.20,Ford Market BuyMay 13,20 shares at $10.11
Preferred Apartment Communities Market Buy,$160.70,Preferred Apartment Communities Market BuyMay 13,10 shares at $16.07
New Residential Investment Market Buy,$165.60,New Residential Investment Market BuyMay 13,10 shares at $16.56
Annaly Capital Market Buy,$171.72,Annaly Capital Market BuyMay 13,18 shares at $9.54